video_id,split,gloss,signer_id,frames,source,url,wlasl100,wlasl300,wlasl1000,wlasl2000
69241,train,book,118.0,193,aslbrick,http://aslbricks.org/New/ASL-Videos/book.mp4,True,True,True,True
65225,train,book,90.0,193,aslsignbank,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,True,True,True,True
68011,train,book,110.0,142,valencia-asl,https://www.youtube.com/watch?v=0UsjUE-TXns,True,True,True,True
68208,train,book,113.0,373,lillybauer,https://www.youtube.com/watch?v=1QOYOZ3g-aY,True,True,True,True
68012,train,book,109.0,289,valencia-asl,https://www.youtube.com/watch?v=aGtIHKEdCds,True,True,True,True
70212,val,book,121.0,301,northtexas,https://www.youtube.com/watch?v=hjS0dQDgbjo,True,True,True,True
70266,train,book,121.0,364,northtexas,https://www.youtube.com/watch?v=WGfiiDgrq1I,True,True,True,True
07085,train,book,49.0,280,aslpro,http://www.aslpro.com/main/b/book_english_grammar.swf,True,True,True,True
07086,train,book,49.0,301,aslpro,http://www.aslpro.com/main/b/book_geography.swf,True,True,True,True
07087,train,book,18.0,241,aslpro,http://www.aslpro.com/main/b/book_geometry.swf,True,True,True,True
07069,train,book,31.0,94,signschool,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,True,True,True,True
07088,train,book,18.0,262,aslpro,http://www.aslpro.com/main/b/book_history.swf,True,True,True,True
07089,train,book,18.0,232,aslpro,http://www.aslpro.com/main/b/book_law.swf,True,True,True,True
07090,train,book,18.0,286,aslpro,http://www.aslpro.com/main/b/book_literature.swf,True,True,True,True
07091,train,book,18.0,226,aslpro,http://www.aslpro.com/main/b/book_math.swf,True,True,True,True
07092,test,book,49.0,235,aslpro,http://www.aslpro.com/main/b/book_medicine.swf,True,True,True,True
07093,test,book,18.0,256,aslpro,http://www.aslpro.com/main/b/book_music.swf,True,True,True,True
07068,train,book,36.0,175,startasl,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4,True,True,True,True
07094,val,book,18.0,265,aslpro,http://www.aslpro.com/main/b/book_photography.swf,True,True,True,True
07095,test,book,18.0,259,aslpro,http://www.aslpro.com/main/b/book_science.swf,True,True,True,True
07096,val,book,18.0,250,aslpro,http://www.aslpro.com/main/b/book_spelling.swf,True,True,True,True
07097,train,book,49.0,190,aslpro,http://www.aslpro.com/main/b/book.swf,True,True,True,True
07070,train,book,59.0,220,asldeafined,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,True,True,True,True
07098,val,book,18.0,373,aslpro,http://www.aslpro.com/main/b/book_trigonometry.swf,True,True,True,True
07099,val,book,12.0,223,aslsearch,http://www.aslsearch.com/signs/videos/book.mp4,True,True,True,True
07071,train,book,14.0,55,handspeak,https://www.handspeak.com/word/b/book2.mp4,True,True,True,True
07072,test,book,14.0,55,handspeak,https://www.handspeak.com/word/b/book.mp4,True,True,True,True
07073,train,book,14.0,85,handspeak,https://www.handspeak.com/word/b/books-pile.mp4,True,True,True,True
67424,train,book,109.0,100,asllex,https://youtu.be/3-GrhsVs830,True,True,True,True
07074,train,book,11.0,100,signingsavvy,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,True,True,True,True
07075,train,book,5.0,208,aslu,https://www.youtube.com/watch?v=Kwvw-K6GYW8,True,True,True,True
07076,train,book,5.0,271,aslu,https://www.youtube.com/watch?v=XjWSfh50kAU,True,True,True,True
07077,train,book,49.0,298,aslpro,http://www.aslpro.com/main/b/book_accounting.swf,True,True,True,True
07078,train,book,18.0,238,aslpro,http://www.aslpro.com/main/b/book_algebra.swf,True,True,True,True
07079,train,book,49.0,280,aslpro,http://www.aslpro.com/main/b/book_anatomy.swf,True,True,True,True
07080,train,book,18.0,313,aslpro,http://www.aslpro.com/main/b/book_art_history.swf,True,True,True,True
07081,train,book,18.0,226,aslpro,http://www.aslpro.com/main/b/book_art.swf,True,True,True,True
07082,train,book,18.0,247,aslpro,http://www.aslpro.com/main/b/book_business.swf,True,True,True,True
07083,val,book,18.0,295,aslpro,http://www.aslpro.com/main/b/book_chemistry.swf,True,True,True,True
07084,train,book,18.0,241,aslpro,http://www.aslpro.com/main/b/book_coloring.swf,True,True,True,True
69302,val,drink,115.0,199,aslbrick,http://aslbricks.org/New/ASL-Videos/drink.mp4,True,True,True,True
65539,train,drink,94.0,139,aslsignbank,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4,True,True,True,True
70173,val,drink,121.0,367,northtexas,https://www.youtube.com/watch?v=F5Wef1_PtLk,True,True,True,True
68538,val,drink,113.0,400,lillybauer,https://www.youtube.com/watch?v=HZMTQJdBZ9g,True,True,True,True
68042,val,drink,109.0,229,valencia-asl,https://www.youtube.com/watch?v=KRc_WYI1DgA,True,True,True,True
68660,train,drink,115.0,163,lillybauer,https://www.youtube.com/watch?v=Lk2Vws8homw,True,True,True,True
68041,train,drink,109.0,268,valencia-asl,https://www.youtube.com/watch?v=Nc7rSopCpI8,True,True,True,True
17725,train,drink,5.0,178,aslu,https://www.youtube.com/watch?v=537MWOtCl78,True,True,True,True
17726,train,drink,5.0,196,aslu,https://www.youtube.com/watch?v=6gU3Ln98sWA,True,True,True,True
17727,train,drink,65.0,247,nabboud,https://www.youtube.com/watch?v=Ddd2ZZNFhVI,True,True,True,True
17728,train,drink,5.0,175,aslu,https://www.youtube.com/watch?v=g3rl9_LYqzI,True,True,True,True
17710,train,drink,36.0,181,startasl,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4,True,True,True,True
17729,train,drink,5.0,184,aslu,https://www.youtube.com/watch?v=i0opsQ2zB1Q,True,True,True,True
17730,test,drink,5.0,208,aslu,https://www.youtube.com/watch?v=k6cNmM9WgUs,True,True,True,True
17731,train,drink,5.0,184,aslu,https://www.youtube.com/watch?v=LqJM7wcUixQ,True,True,True,True
17732,train,drink,44.0,166,aslpro,http://www.aslpro.com/main/d/drink.swf,True,True,True,True
17733,train,drink,12.0,238,aslsearch,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4,True,True,True,True
65540,train,drink,94.0,145,aslsignbank,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4,True,True,True,True
17734,val,drink,12.0,229,aslsearch,http://www.aslsearch.com/signs/videos/drink.mp4,True,True,True,True
17711,train,drink,52.0,208,signschool,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4,True,True,True,True
17712,train,drink,6.0,136,signschool,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4,True,True,True,True
17713,test,drink,21.0,235,asldeafined,https://media.asldeafined.com/vocabulary/1467773819.9825.mp4,True,True,True,True
17714,train,drink,20.0,166,handspeak,https://www.handspeak.com/word/d/drink2.mp4,True,True,True,True
17715,train,drink,14.0,166,handspeak,https://www.handspeak.com/word/d/drink-alcohol.mp4,True,True,True,True
17716,test,drink,20.0,172,handspeak,https://www.handspeak.com/word/d/drink-british.mp4,True,True,True,True
17717,train,drink,14.0,139,handspeak,https://www.handspeak.com/word/d/drink.mp4,True,True,True,True
17718,test,drink,20.0,175,handspeak,https://www.handspeak.com/word/d/drink-mug.mp4,True,True,True,True
17709,train,drink,2.0,316,spreadthesign,https://media.spreadthesign.com/video/mp4/13/153289.mp4,True,True,True,True
67594,train,drink,109.0,112,asllex,https://youtu.be/yawcLQIhQiE,True,True,True,True
17719,train,drink,14.0,145,handspeak,https://www.handspeak.com/word/d/drink-plu.mp4,True,True,True,True
17720,train,drink,11.0,106,signingsavvy,https://www.signingsavvy.com/signs/mp4/14/14885.mp4,True,True,True,True
17721,train,drink,10.0,127,signingsavvy,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,True,True,True,True
17722,train,drink,10.0,127,signingsavvy,https://www.signingsavvy.com/signs/mp4/23/23388.mp4,True,True,True,True
17723,train,drink,10.0,154,signingsavvy,https://www.signingsavvy.com/signs/mp4/23/23389.mp4,True,True,True,True
17724,val,drink,11.0,79,signingsavvy,https://www.signingsavvy.com/signs/mp4/7/7796.mp4,True,True,True,True
12306,test,computer,9.0,157,asl5200,https://www.youtube.com/watch?v=PPmQd2zWdP0,True,True,True,True
68028,train,computer,109.0,268,valencia-asl,https://www.youtube.com/watch?v=H-tAzh-nuV8,True,True,True,True
